ID, MSE, PSNR, SSIM, LPIPS
173, 0.00335102, 24.74822989, 0.88485879, 0.10495772 
174, 0.00301913, 25.20117838, 0.88909066, 0.10122947 
175, 0.00297489, 25.26529369, 0.88725841, 0.10627560 
176, 0.00290592, 25.36715906, 0.88852334, 0.09967818 
177, 0.00292380, 25.34051660, 0.88866639, 0.10057186 
178, 0.00312239, 25.05513304, 0.89047873, 0.09155962 
179, 0.00318272, 24.97201704, 0.89370084, 0.09707517 
180, 0.00303935, 25.17219946, 0.89409369, 0.08435658 
181, 0.00301068, 25.21335474, 0.89379895, 0.08173836 
182, 0.00302231, 25.19660945, 0.89386684, 0.09074021 
183, 0.00310990, 25.07253016, 0.89256680, 0.08524617 
184, 0.00320878, 24.93660315, 0.88890636, 0.09393107 
185, 0.00313733, 25.03440434, 0.88871908, 0.08582554 
186, 0.00308972, 25.10081215, 0.88959861, 0.08909210 
187, 0.00310273, 25.08256598, 0.88761890, 0.08257383 
188, 0.00303561, 25.17754381, 0.88857776, 0.07869674 
189, 0.00308127, 25.11270339, 0.88773429, 0.07523163 
190, 0.00319301, 24.95799453, 0.88642067, 0.08150927 
191, 0.00329712, 24.81864681, 0.88287067, 0.08223382 
192, 0.00331697, 24.79258538, 0.88249838, 0.08621721 
193, 0.00340394, 24.68017628, 0.87983441, 0.08672278 
194, 0.00340915, 24.67353289, 0.87749678, 0.09186762 
195, 0.00334376, 24.75765079, 0.87334067, 0.09281378 
196, 0.00324111, 24.89305713, 0.87245631, 0.10101815 
197, 0.00327560, 24.84709566, 0.86910111, 0.10352348 
198, 0.00330064, 24.81401255, 0.86860609, 0.10744841 
199, 0.00321860, 24.92333330, 0.87105280, 0.11443923 
AVERAGES: 0.0033, 24.953, 0.900, 0.087
