ID, MSE, PSNR, SSIM, LPIPS
102, 0.00286667, 25.42621660, 0.88634962, 0.20722669 
103, 0.00246288, 26.08557202, 0.89285886, 0.20395274 
104, 0.00231753, 26.34974005, 0.89542037, 0.19507068 
105, 0.00236396, 26.26359273, 0.89532232, 0.19513318 
106, 0.00218984, 26.59588178, 0.90056884, 0.18820013 
107, 0.00201806, 26.95064909, 0.90406644, 0.18108515 
108, 0.00177228, 27.51468442, 0.90668184, 0.18671563 
109, 0.00165327, 27.81656434, 0.90780926, 0.17976624 
110, 0.00159896, 27.96161383, 0.90861189, 0.18015748 
111, 0.00155001, 28.09666789, 0.90951997, 0.18687020 
112, 0.00145495, 28.37153298, 0.91301286, 0.17502537 
113, 0.00137273, 28.62414098, 0.91485375, 0.17858024 
114, 0.00138134, 28.59700007, 0.91607249, 0.17398676 
115, 0.00142595, 28.45894966, 0.91506004, 0.17501456 
116, 0.00145852, 28.36087694, 0.91472816, 0.17766662 
117, 0.00147775, 28.30398992, 0.91333902, 0.17117646 
118, 0.00143266, 28.43858265, 0.91363102, 0.15759990 
119, 0.00143346, 28.43615925, 0.91324079, 0.16055468 
120, 0.00135058, 28.69478558, 0.91387004, 0.15848313 
121, 0.00131434, 28.81291260, 0.91375971, 0.15860832 
122, 0.00128390, 28.91467345, 0.91445053, 0.16347152 
123, 0.00129165, 28.88855035, 0.91710699, 0.16112028 
124, 0.00137811, 28.60716327, 0.91527641, 0.16782631 
125, 0.00138603, 28.58228137, 0.91712183, 0.15914626 
126, 0.00151044, 28.20895980, 0.91396821, 0.16220565 
127, 0.00174478, 27.58258690, 0.91171312, 0.15558416 
128, 0.00192819, 27.14851222, 0.90609688, 0.16061069 
129, 0.00201964, 26.94725223, 0.90507591, 0.16252376 
130, 0.00224547, 26.48692167, 0.89847374, 0.16359672 
131, 0.00256692, 25.90587448, 0.89287704, 0.18302669 
132, 0.00240722, 26.18484602, 0.89264321, 0.18367167 
133, 0.00239353, 26.20960621, 0.89090621, 0.18641448 
134, 0.00245763, 26.09483396, 0.88783252, 0.19845922 
135, 0.00237705, 26.23961598, 0.88339621, 0.20318997 
136, 0.00221104, 26.55403514, 0.88317418, 0.21026509 
137, 0.00222584, 26.52506058, 0.87975442, 0.22185883 
138, 0.00223964, 26.49821900, 0.88028860, 0.22442663 
139, 0.00222158, 26.53337426, 0.88262010, 0.22035947 
140, 0.00235449, 26.28102916, 0.87918705, 0.23064223 
141, 0.00234561, 26.29743344, 0.88190240, 0.22120710 
142, 0.00241353, 26.17347651, 0.88061011, 0.21865240 
143, 0.00238683, 26.22179266, 0.88113219, 0.22037262 
144, 0.00235970, 26.27143950, 0.88046825, 0.22188851 
145, 0.00233673, 26.31390943, 0.87773848, 0.22951201 
146, 0.00213080, 26.71456805, 0.87854993, 0.23115359 
147, 0.00197681, 27.04035393, 0.87891304, 0.21606192 
148, 0.00199247, 27.00608792, 0.88063872, 0.21236132 
149, 0.00206719, 26.84619480, 0.88110459, 0.21572079 
150, 0.00217926, 26.61690926, 0.87852979, 0.21656792 
151, 0.00212151, 26.73354777, 0.87669629, 0.21559516 
152, 0.00207012, 26.84004806, 0.87734544, 0.20824981 
153, 0.00213327, 26.70953268, 0.87610650, 0.20357415 
154, 0.00216940, 26.63660693, 0.87617201, 0.19812462 
155, 0.00222752, 26.52178958, 0.87527710, 0.19556880 
156, 0.00228372, 26.41357176, 0.87248987, 0.18693459 
157, 0.00217562, 26.62416760, 0.87470126, 0.18997122 
158, 0.00214202, 26.69176849, 0.87329257, 0.19596304 
159, 0.00213875, 26.69840654, 0.87371099, 0.20104507 
160, 0.00216779, 26.63981819, 0.87350732, 0.19935563 
161, 0.00221409, 26.54805695, 0.87168998, 0.19276632 
162, 0.00238430, 26.22638233, 0.86573803, 0.19015224 
163, 0.00252860, 25.97120119, 0.86478847, 0.19169773 
164, 0.00260243, 25.84621749, 0.86348021, 0.19719619 
165, 0.00282859, 25.48429553, 0.85935128, 0.20384911 
166, 0.00314653, 25.02168812, 0.85699546, 0.19655290 
167, 0.00337562, 24.71646374, 0.85269159, 0.19490698 
168, 0.00336758, 24.72681717, 0.84983623, 0.20029497 
169, 0.00358438, 24.45585415, 0.84949088, 0.19844839 
170, 0.00386101, 24.13298908, 0.84966117, 0.20755270 
171, 0.00409801, 23.87426664, 0.85007513, 0.19558915 
172, 0.00411651, 23.85471214, 0.85228539, 0.19465256 
173, 0.00411169, 23.85979540, 0.85426730, 0.19373003 
174, 0.00430454, 23.66073124, 0.85352737, 0.19023554 
175, 0.00462874, 23.34537364, 0.85232538, 0.19302015 
176, 0.00463152, 23.34276389, 0.85441011, 0.19051769 
177, 0.00434003, 23.62507150, 0.85675830, 0.19981888 
