ID, MSE, PSNR, SSIM, LPIPS
102, 0.02160260, 16.65494034, 0.69624078, 0.42789406 
103, 0.02290409, 16.40086983, 0.69158685, 0.41801566 
104, 0.02534752, 15.96064563, 0.67869520, 0.42538452 
105, 0.02660476, 15.75040647, 0.66607034, 0.44597322 
106, 0.02817159, 15.50188590, 0.65742904, 0.44886753 
107, 0.02436625, 16.13211300, 0.64949220, 0.46922505 
108, 0.02232546, 16.51199514, 0.64085442, 0.47637349 
109, 0.02204373, 16.56714933, 0.63491195, 0.48854586 
110, 0.02388449, 16.21884059, 0.62829506, 0.48600811 
111, 0.02524268, 15.97864526, 0.62352812, 0.50333208 
112, 0.02482362, 16.05134870, 0.61861914, 0.49800798 
113, 0.02306331, 16.37078303, 0.61516285, 0.50708234 
114, 0.02301952, 16.37903726, 0.60633123, 0.52323109 
115, 0.02216792, 16.54275107, 0.60017055, 0.52376556 
116, 0.02119881, 16.73688421, 0.59725606, 0.54351687 
117, 0.02060032, 16.86126096, 0.59372550, 0.55699289 
118, 0.01894448, 17.22517236, 0.59260029, 0.55838585 
119, 0.01755358, 17.55634182, 0.59391302, 0.56037974 
120, 0.01721800, 17.64017361, 0.59319550, 0.56459498 
121, 0.01647763, 17.83105167, 0.59945625, 0.57048893 
122, 0.01512454, 18.20317803, 0.60429096, 0.58492231 
123, 0.01422628, 18.46908643, 0.60519427, 0.57575768 
124, 0.01455643, 18.36945199, 0.60525310, 0.57247686 
125, 0.01494659, 18.25457819, 0.60210979, 0.57940692 
126, 0.01521741, 18.17659273, 0.60097456, 0.57665288 
127, 0.01562099, 18.06291505, 0.60232806, 0.55603147 
128, 0.01655123, 17.81169821, 0.60262191, 0.56783074 
129, 0.01828498, 17.37905550, 0.59949923, 0.58549374 
130, 0.02056186, 16.86937584, 0.59455287, 0.57690835 
131, 0.02281927, 16.41698299, 0.59101546, 0.54336715 
132, 0.02397026, 16.20327233, 0.59203219, 0.54601079 
133, 0.02189471, 16.59660726, 0.59219015, 0.52772820 
134, 0.02392699, 16.21111964, 0.59195501, 0.50865746 
135, 0.02721901, 15.65127607, 0.59024179, 0.50346404 
136, 0.02970927, 15.27107989, 0.59029424, 0.51772767 
137, 0.02854487, 15.44471998, 0.59338588, 0.50666946 
138, 0.02585079, 15.87526124, 0.59749907, 0.51047271 
139, 0.02386646, 16.22211930, 0.60208303, 0.48843300 
140, 0.02311748, 16.36059494, 0.60470235, 0.48338187 
141, 0.02276098, 16.42809082, 0.61170602, 0.45374289 
142, 0.02406294, 16.18651229, 0.61739975, 0.46049750 
143, 0.02587173, 15.87174507, 0.62544191, 0.43395585 
144, 0.02744388, 15.61554455, 0.63064867, 0.42482096 
145, 0.02631234, 15.79840558, 0.63819146, 0.42925274 
146, 0.02621134, 15.81510776, 0.64481264, 0.43109742 
147, 0.02491462, 16.03545725, 0.65958309, 0.42111763 
148, 0.02422575, 16.15722719, 0.66753328, 0.41306993 
149, 0.02499525, 16.02142439, 0.66813833, 0.41625297 
150, 0.02696042, 15.69273355, 0.66747493, 0.42333832 
151, 0.02728510, 15.64074406, 0.66404802, 0.42894030 
152, 0.02866192, 15.42694724, 0.65979201, 0.42964882 
153, 0.02713883, 15.66408862, 0.66263074, 0.40126419 
154, 0.02392730, 16.21106284, 0.66124690, 0.40405950 
155, 0.02193821, 16.58798840, 0.65987182, 0.39724296 
156, 0.02103525, 16.77052239, 0.65318263, 0.40183082 
157, 0.01986207, 17.01975599, 0.65196937, 0.40160814 
158, 0.01850876, 17.32622670, 0.64947206, 0.40689123 
159, 0.01752898, 17.56243377, 0.64706290, 0.40921080 
160, 0.01700469, 17.69431349, 0.64237070, 0.41853556 
161, 0.01711095, 17.66725941, 0.63583070, 0.42482939 
162, 0.01742732, 17.58769449, 0.62955105, 0.43905276 
163, 0.01743384, 17.58606925, 0.62566781, 0.44938785 
164, 0.01716776, 17.65286365, 0.62295860, 0.45223159 
165, 0.01811117, 17.42053509, 0.61802500, 0.46981686 
166, 0.01828415, 17.37925193, 0.61628884, 0.47470349 
167, 0.01801702, 17.44317127, 0.61500263, 0.48287544 
168, 0.01810593, 17.42179214, 0.61386693, 0.47255975 
169, 0.01766209, 17.52957923, 0.61416769, 0.47254124 
170, 0.01822462, 17.39341490, 0.61273408, 0.49248531 
171, 0.01998622, 16.99269262, 0.60879385, 0.50357509 
172, 0.02081017, 16.81724331, 0.60627580, 0.52851027 
173, 0.01975075, 17.04416374, 0.60675925, 0.52048254 
174, 0.01997941, 16.99417425, 0.60556263, 0.53580159 
175, 0.01964025, 17.06853068, 0.60441476, 0.53822887 
176, 0.01833363, 17.36751523, 0.60770106, 0.53209394 
177, 0.01729288, 17.62132684, 0.60843158, 0.51775384 
178, 0.01681316, 17.74350680, 0.60942256, 0.52349114 
179, 0.01748862, 17.57244476, 0.60918093, 0.51932657 
180, 0.01773304, 17.51216777, 0.61016464, 0.50735283 
181, 0.01761008, 17.54238704, 0.61207771, 0.48992768 
182, 0.01725251, 17.63147608, 0.61624157, 0.48299426 
183, 0.01719446, 17.64611432, 0.61794430, 0.48195171 
184, 0.01745614, 17.58051774, 0.62033284, 0.48723236 
185, 0.01792060, 17.46647403, 0.62161243, 0.48448402 
186, 0.01816379, 17.40793461, 0.62495941, 0.47920430 
187, 0.01771287, 17.51711050, 0.63116056, 0.47668996 
188, 0.01716629, 17.65323544, 0.63606673, 0.46837741 
189, 0.01652906, 17.81751918, 0.63961554, 0.45358819 
190, 0.01564706, 18.05567168, 0.64655709, 0.43272626 
191, 0.01540063, 18.12461449, 0.64970642, 0.41989562 
192, 0.01573272, 18.03196173, 0.65451068, 0.42610776 
193, 0.01640934, 17.84908853, 0.66127425, 0.42623898 
194, 0.01737179, 17.60155324, 0.66378248, 0.41943651 
195, 0.01908168, 17.19383432, 0.66438484, 0.42194545 
196, 0.02041191, 16.90116266, 0.66737306, 0.41744313 
197, 0.02008506, 16.97126805, 0.67259753, 0.41220981 
198, 0.01943889, 17.11328480, 0.67609292, 0.42816180 
199, 0.01943956, 17.11313499, 0.67781878, 0.41389006 
AVERAGES: 0.0213, 16.846, 0.627, 0.482
