ID, MSE, PSNR, SSIM, LPIPS
111, 0.00172688, 27.62737730, 0.83121270, 0.35368586 
112, 0.00183283, 27.36877010, 0.82531416, 0.34838670 
113, 0.00202831, 26.92865774, 0.82516402, 0.34689453 
114, 0.00207877, 26.82193130, 0.82227427, 0.35034499 
115, 0.00203586, 26.91252593, 0.82434464, 0.35506961 
116, 0.00199951, 26.99076271, 0.82314938, 0.35791227 
117, 0.00193248, 27.13885589, 0.82935154, 0.35091907 
118, 0.00199458, 27.00149142, 0.82810706, 0.35407355 
119, 0.00203143, 26.92197263, 0.83022249, 0.35387224 
120, 0.00197924, 27.03501902, 0.83249360, 0.35478121 
121, 0.00192050, 27.16586436, 0.83608127, 0.35200256 
122, 0.00187127, 27.27864380, 0.84168452, 0.34583792 
123, 0.00173580, 27.60500796, 0.84602249, 0.33380803 
124, 0.00170335, 27.68696405, 0.85110492, 0.33073160 
125, 0.00171788, 27.65006406, 0.85330087, 0.32680368 
126, 0.00172104, 27.64208067, 0.85569900, 0.32650632 
127, 0.00168095, 27.74446184, 0.85439968, 0.32957441 
128, 0.00165025, 27.82450950, 0.85628563, 0.32984546 
129, 0.00164541, 27.83726767, 0.85840023, 0.32680041 
130, 0.00153713, 28.13289966, 0.86065966, 0.32001781 
131, 0.00150019, 28.23853699, 0.86291885, 0.31969446 
132, 0.00150191, 28.23355810, 0.86547899, 0.31546110 
133, 0.00155587, 28.08025898, 0.86480230, 0.32000273 
134, 0.00160098, 27.95613730, 0.86317575, 0.31655264 
135, 0.00159678, 27.96755731, 0.86401302, 0.32001975 
136, 0.00153944, 28.12636343, 0.86731976, 0.31064227 
137, 0.00158871, 27.98956134, 0.86445832, 0.32000512 
138, 0.00161448, 27.91966880, 0.86440969, 0.30607891 
139, 0.00152596, 28.16458030, 0.86634314, 0.30695519 
140, 0.00158820, 27.99094876, 0.86550039, 0.31030363 
141, 0.00158762, 27.99254265, 0.86565846, 0.30867660 
142, 0.00159093, 27.98349235, 0.86484861, 0.31068921 
143, 0.00166122, 27.79571697, 0.86360794, 0.30935282 
144, 0.00171671, 27.65303994, 0.86434925, 0.31097832 
145, 0.00170830, 27.67435749, 0.85953164, 0.30840206 
146, 0.00162002, 27.90479868, 0.86408907, 0.30965146 
147, 0.00153090, 28.15053437, 0.86580461, 0.30544549 
148, 0.00156791, 28.04679429, 0.86383069, 0.30601978 
149, 0.00157680, 28.02222775, 0.86375940, 0.31026465 
150, 0.00166709, 27.78039742, 0.86168861, 0.31329471 
151, 0.00179153, 27.46776099, 0.85851514, 0.31395778 
152, 0.00186718, 27.28814248, 0.85489196, 0.31581020 
153, 0.00195147, 27.09637490, 0.85120964, 0.31042132 
154, 0.00196879, 27.05800537, 0.84942877, 0.31021997 
155, 0.00202567, 26.93432272, 0.84707928, 0.31431076 
156, 0.00209945, 26.77895094, 0.84400600, 0.31347308 
157, 0.00202940, 26.92633322, 0.84194350, 0.31447300 
158, 0.00197013, 27.05505266, 0.84059948, 0.32016769 
159, 0.00194337, 27.11443522, 0.84018397, 0.32036671 
160, 0.00197634, 27.04137401, 0.83718705, 0.32738784 
161, 0.00205752, 26.86656579, 0.83621728, 0.32077488 
162, 0.00203949, 26.90479057, 0.83601379, 0.33343530 
163, 0.00195062, 27.09828058, 0.83578849, 0.32771751 
164, 0.00196470, 27.06703459, 0.83281052, 0.33163834 
165, 0.00193170, 27.14059526, 0.83086473, 0.33563650 
166, 0.00184800, 27.33298447, 0.83109814, 0.32863295 
167, 0.00186715, 27.28820882, 0.83150810, 0.33719289 
168, 0.00187590, 27.26790783, 0.82971209, 0.33996761 
169, 0.00183673, 27.35955357, 0.83090162, 0.33426452 
170, 0.00173714, 27.60165703, 0.83147818, 0.32457963 
171, 0.00174915, 27.57172081, 0.83090240, 0.33240339 
172, 0.00175781, 27.55028585, 0.83041692, 0.34210402 
173, 0.00178853, 27.47503593, 0.82994592, 0.33187744 
174, 0.00178350, 27.48726499, 0.83098388, 0.32903498 
175, 0.00177157, 27.51642522, 0.82955611, 0.33474720 
176, 0.00176373, 27.53566933, 0.83016831, 0.32391566 
177, 0.00180573, 27.43347567, 0.82629061, 0.33361483 
178, 0.00192124, 27.16417641, 0.82181036, 0.33586627 
179, 0.00193224, 27.13937891, 0.81927395, 0.32844865 
180, 0.00198992, 27.01165416, 0.81794238, 0.33600289 
181, 0.00203225, 26.92022982, 0.81553072, 0.33823395 
182, 0.00199512, 27.00030580, 0.81502455, 0.33396071 
183, 0.00187800, 27.26304255, 0.81785667, 0.33364415 
184, 0.00174331, 27.58626390, 0.82126522, 0.33453137 
185, 0.00159867, 27.96241736, 0.82915801, 0.32655817 
186, 0.00161051, 27.93036152, 0.82853204, 0.32456681 
187, 0.00177551, 27.50675789, 0.82212776, 0.32931381 
188, 0.00181781, 27.40450511, 0.82227254, 0.32736588 
189, 0.00179660, 27.45549125, 0.82071358, 0.33217821 
190, 0.00188755, 27.24101831, 0.81836206, 0.33207384 
191, 0.00191890, 27.16946695, 0.81841469, 0.33642662 
192, 0.00191484, 27.17867941, 0.81769413, 0.33532655 
193, 0.00189209, 27.23057952, 0.81760645, 0.32765156 
194, 0.00190236, 27.20707453, 0.81528836, 0.32670397 
195, 0.00195968, 27.07815382, 0.81356627, 0.33125663 
196, 0.00202110, 26.94412968, 0.81137931, 0.33471525 
197, 0.00202805, 26.92922261, 0.80843979, 0.33218685 
198, 0.00211595, 26.74495223, 0.80573130, 0.34335560 
199, 0.00214504, 26.68563975, 0.80397040, 0.34494540 
AVERAGES: 0.0019, 27.309, 0.838, 0.330
