ID, MSE, PSNR, SSIM, LPIPS
121, 0.00254542, 25.94241011, 0.71269530, 0.44631848 
122, 0.00244164, 26.12317704, 0.71535432, 0.44411090 
123, 0.00243269, 26.13912814, 0.71636683, 0.44166252 
124, 0.00246717, 26.07801517, 0.71948969, 0.43462905 
125, 0.00247401, 26.06598142, 0.71808475, 0.44419065 
126, 0.00251201, 25.99978950, 0.71732235, 0.43075582 
127, 0.00245367, 26.10184070, 0.71562129, 0.43107176 
128, 0.00244874, 26.11056838, 0.71956718, 0.43229577 
129, 0.00238965, 26.21664882, 0.71993923, 0.42560396 
130, 0.00239138, 26.21351910, 0.71785283, 0.42424631 
131, 0.00241515, 26.17056781, 0.72111565, 0.42190683 
132, 0.00234557, 26.29751922, 0.72157955, 0.41894016 
133, 0.00240662, 26.18592655, 0.71524203, 0.41875535 
134, 0.00238072, 26.23291703, 0.71873671, 0.41734624 
135, 0.00242775, 26.14795531, 0.71693462, 0.41856161 
136, 0.00244622, 26.11504235, 0.71954000, 0.41213816 
137, 0.00244431, 26.11844440, 0.71336710, 0.40660605 
138, 0.00241668, 26.16780918, 0.71879578, 0.40160549 
139, 0.00245042, 26.10759049, 0.71854496, 0.40476537 
140, 0.00255856, 25.92003980, 0.71589655, 0.40772796 
141, 0.00252447, 25.97829349, 0.72043556, 0.41560754 
142, 0.00253461, 25.96088419, 0.72183651, 0.40970001 
143, 0.00251613, 25.99266123, 0.72375345, 0.41001621 
144, 0.00247074, 26.07172769, 0.72397012, 0.40105617 
145, 0.00250227, 26.01666106, 0.72516000, 0.41247481 
146, 0.00250840, 26.00603126, 0.72709608, 0.42188281 
147, 0.00244632, 26.11487536, 0.72871625, 0.41836831 
148, 0.00243006, 26.14382513, 0.73112154, 0.41366848 
149, 0.00243393, 26.13692197, 0.73042828, 0.41114053 
150, 0.00246605, 26.07998577, 0.72928751, 0.41657096 
151, 0.00244603, 26.11539000, 0.72690529, 0.41051722 
152, 0.00243780, 26.13002644, 0.72874123, 0.40614772 
153, 0.00248220, 26.05162651, 0.73003685, 0.40457392 
154, 0.00246063, 26.08953537, 0.72786003, 0.38886824 
155, 0.00246369, 26.08413487, 0.72473359, 0.39754853 
156, 0.00249065, 26.03686822, 0.72788161, 0.39920002 
157, 0.00247157, 26.07026893, 0.72536302, 0.39302701 
158, 0.00249535, 26.02868598, 0.72448152, 0.39566278 
159, 0.00250207, 26.01700901, 0.72231162, 0.40016040 
160, 0.00249375, 26.03146831, 0.72357786, 0.39932573 
161, 0.00249203, 26.03446099, 0.72209322, 0.39557764 
162, 0.00253374, 25.96237970, 0.71760088, 0.40991399 
163, 0.00251406, 25.99624622, 0.72146821, 0.40354234 
164, 0.00258108, 25.88198777, 0.71953458, 0.40712252 
165, 0.00257667, 25.88941214, 0.71455622, 0.39956990 
166, 0.00255299, 25.92951027, 0.71938843, 0.40635353 
167, 0.00252564, 25.97629282, 0.71328801, 0.41214919 
168, 0.00258468, 25.87592751, 0.71476924, 0.41430879 
169, 0.00250515, 26.01166480, 0.71402586, 0.41445351 
170, 0.00253122, 25.96670551, 0.71625417, 0.41128868 
171, 0.00254296, 25.94660671, 0.71721089, 0.41381416 
172, 0.00258398, 25.87711188, 0.71250975, 0.41898364 
173, 0.00263701, 25.78887752, 0.71168882, 0.42007637 
174, 0.00255356, 25.92854119, 0.71492535, 0.41349286 
175, 0.00255799, 25.92101489, 0.70982558, 0.42238745 
176, 0.00251920, 25.98737899, 0.71064943, 0.41022009 
177, 0.00261422, 25.82657651, 0.71048260, 0.41366926 
178, 0.00270266, 25.68208672, 0.70735806, 0.41414881 
179, 0.00271146, 25.66796650, 0.70702660, 0.41338685 
180, 0.00274138, 25.62031219, 0.70722044, 0.41159871 
181, 0.00284813, 25.45439453, 0.70136166, 0.41442212 
182, 0.00282776, 25.48557300, 0.70196259, 0.40956360 
