ID, MSE, PSNR, SSIM, LPIPS
102, 0.00177501, 27.50798279, 0.93613744, 0.14560381 
103, 0.00169616, 27.70532600, 0.93834060, 0.14222825 
104, 0.00166600, 27.78325277, 0.93941832, 0.13888599 
105, 0.00172986, 27.61989431, 0.93926704, 0.14685631 
106, 0.00167402, 27.76239125, 0.94033349, 0.14207695 
107, 0.00163984, 27.85198011, 0.94145995, 0.14136663 
108, 0.00181040, 27.42225922, 0.93921584, 0.14147966 
109, 0.00153626, 28.13534353, 0.94122142, 0.13885735 
110, 0.00147807, 28.30306421, 0.94270241, 0.13555680 
111, 0.00141240, 28.50040989, 0.94197720, 0.13344637 
112, 0.00124783, 29.03843811, 0.94309151, 0.13459156 
113, 0.00120685, 29.18345891, 0.94342375, 0.13518445 
114, 0.00127540, 28.94352183, 0.94347835, 0.13695297 
115, 0.00130171, 28.85486449, 0.94165725, 0.14060354 
116, 0.00116004, 29.35525716, 0.94345278, 0.12757751 
117, 0.00109959, 29.58768859, 0.94312859, 0.13296886 
118, 0.00100959, 29.95852860, 0.94391084, 0.13183323 
119, 0.00098680, 30.05770370, 0.94390839, 0.12838800 
120, 0.00099066, 30.04076679, 0.94315624, 0.12825248 
121, 0.00119048, 29.24278887, 0.94200397, 0.13006829 
122, 0.00124986, 29.03139102, 0.94240385, 0.12721474 
123, 0.00102531, 29.89144207, 0.94502676, 0.12558460 
124, 0.00084873, 30.71230607, 0.94293106, 0.13541137 
125, 0.00079306, 31.00694147, 0.94271618, 0.13222916 
126, 0.00078036, 31.07702950, 0.94272369, 0.13092090 
127, 0.00088249, 30.54289312, 0.93879247, 0.12680715 
128, 0.00081189, 30.90503928, 0.93799156, 0.13358842 
129, 0.00084565, 30.72811839, 0.93469334, 0.13810126 
130, 0.00095646, 30.19334210, 0.93269742, 0.12948310 
131, 0.00100444, 29.98075241, 0.93164420, 0.13280937 
132, 0.00092708, 30.32880937, 0.93045002, 0.13906108 
133, 0.00090991, 30.41000555, 0.93009305, 0.13156988 
134, 0.00107634, 29.68052173, 0.92725360, 0.13971494 
135, 0.00134031, 28.72796184, 0.92365515, 0.14617866 
136, 0.00180273, 27.44069224, 0.91946077, 0.14593568 
137, 0.00218213, 26.61119982, 0.91634870, 0.15946332 
138, 0.00203489, 26.91459858, 0.91513807, 0.15308219 
139, 0.00186043, 27.30386558, 0.91940844, 0.14903101 
140, 0.00182622, 27.38446666, 0.91793215, 0.16086179 
141, 0.00190516, 27.20068991, 0.91789389, 0.15072887 
142, 0.00204216, 26.89909859, 0.91554755, 0.16224582 
143, 0.00198620, 27.01977534, 0.91609836, 0.15757866 
144, 0.00200692, 26.97469171, 0.91459799, 0.15457216 
145, 0.00209395, 26.79033295, 0.91484052, 0.15431842 
146, 0.00211780, 26.74115903, 0.91321939, 0.15275110 
147, 0.00195115, 27.09708250, 0.91120690, 0.15359406 
148, 0.00180608, 27.43263522, 0.91178012, 0.15491566 
149, 0.00192986, 27.14473519, 0.91159528, 0.15561053 
150, 0.00203151, 26.92181484, 0.91211969, 0.14336002 
151, 0.00213169, 26.71274948, 0.90953612, 0.15308169 
152, 0.00214960, 26.67642850, 0.91036022, 0.15265472 
153, 0.00175751, 27.55102165, 0.91019154, 0.15352076 
154, 0.00187060, 27.28020115, 0.91300559, 0.15260547 
155, 0.00201535, 26.95650340, 0.91261166, 0.15295218 
156, 0.00240279, 26.19284288, 0.91323531, 0.14934444 
157, 0.00208688, 26.80502298, 0.91775888, 0.14548454 
158, 0.00181168, 27.41918306, 0.91969103, 0.14647864 
159, 0.00147958, 28.29861631, 0.92259824, 0.14245160 
160, 0.00157479, 28.02776103, 0.92565799, 0.14143646 
161, 0.00148525, 28.28201472, 0.92763549, 0.14121939 
162, 0.00125647, 29.00846312, 0.92977566, 0.13689804 
163, 0.00108044, 29.66399015, 0.93200529, 0.13743541 
164, 0.00091892, 30.36723545, 0.93161219, 0.13685247 
165, 0.00094928, 30.22603571, 0.93056667, 0.13301349 
166, 0.00117064, 29.31575562, 0.92911261, 0.13794997 
