ID, MSE, PSNR, SSIM, LPIPS
161, 0.00024900, 36.03804960, 0.97884554, 0.03521365 
162, 0.00023041, 36.37493510, 0.97817338, 0.03499651 
163, 0.00021069, 36.76354384, 0.97907579, 0.03588541 
164, 0.00021240, 36.72854410, 0.97848272, 0.03600367 
165, 0.00018708, 37.27961718, 0.97872621, 0.03316563 
166, 0.00016724, 37.76668657, 0.98019516, 0.03200647 
167, 0.00016198, 37.90528494, 0.98097789, 0.03500148 
168, 0.00015809, 38.01099641, 0.98136777, 0.03402774 
169, 0.00015237, 38.17099523, 0.98171616, 0.03313772 
170, 0.00015190, 38.18440542, 0.98210973, 0.03689889 
171, 0.00014690, 38.32992063, 0.98234183, 0.03710540 
172, 0.00014855, 38.28126419, 0.98213232, 0.03523955 
173, 0.00014886, 38.27219027, 0.97998482, 0.03449728 
174, 0.00014508, 38.38398320, 0.98255265, 0.03545820 
175, 0.00014285, 38.45131225, 0.98193008, 0.03246810 
176, 0.00014306, 38.44474019, 0.98271275, 0.03350706 
177, 0.00013746, 38.61832133, 0.98149705, 0.03256150 
178, 0.00014249, 38.46221922, 0.98613667, 0.03247964 
179, 0.00013260, 38.77472472, 0.98358029, 0.03107184 
180, 0.00013684, 38.63772211, 0.98717129, 0.03187420 
181, 0.00012315, 39.09571822, 0.98575079, 0.03111554 
182, 0.00013366, 38.74004939, 0.98502290, 0.03148269 
183, 0.00013229, 38.78471100, 0.98495412, 0.03035444 
184, 0.00013919, 38.56389376, 0.98779857, 0.03332217 
185, 0.00013901, 38.56962116, 0.98800504, 0.03301661 
186, 0.00011963, 39.22177463, 0.98774272, 0.03206818 
187, 0.00012692, 38.96483878, 0.98671496, 0.03590244 
188, 0.00013099, 38.82754006, 0.98795903, 0.03316956 
189, 0.00013385, 38.73371519, 0.98710674, 0.03344830 
190, 0.00014201, 38.47686853, 0.98906261, 0.03096824 
191, 0.00014311, 38.44320538, 0.98926342, 0.03080506 
192, 0.00015924, 37.97942770, 0.98917544, 0.02805920 
193, 0.00015232, 38.17249197, 0.98812628, 0.02799334 
194, 0.00017148, 37.65779960, 0.98872960, 0.02910957 
195, 0.00016678, 37.77843955, 0.98878616, 0.02877878 
196, 0.00017235, 37.63577742, 0.98688591, 0.02934313 
197, 0.00018285, 37.37914344, 0.98812991, 0.02747280 
198, 0.00018886, 37.23857819, 0.98714256, 0.02779393 
199, 0.00018030, 37.44009694, 0.98777562, 0.02708288 
AVERAGES: 0.0003, 35.728, 0.984, 0.033
